jp,text,alt
レンジャー,Следопыт,
レーサス,Лесас,
ロイヤルガード,Королевский гвардеец,
ロイヤルランサー,Королевский лансьер,
ロック,Рух,
ロングボウ,Длинный лук,
ロード,Лорд,
ローブ,Мантия,
ワイバーン,Виверна,
ワンド,Жезл,
ヴォルコフ,Волков,
一般兵,Рядовой,
兄貴,Братан,
司祭,Священник,
帝国兵,Имперский солдат,
帝国軍指揮官,Командир имперской армии,
指揮官,Командир,
村人,Селянин,
海賊,Пират,
神官,Священник,
自警団,Ополчение,
魔女,Ведьма,
Ｄ・スレイヤー,Д-Убийца,
Ｇアント,Гигантский муравей,
